imo,name,ship_type,dwt,dwt_size_class,efficiency_grade,flag_registry,technical_efficiency,co2_total_t,co2_per_distance_kg_nm,in_mrv
9325051,PANAMAX NOSTOS,Bulk carrier,76620.0,Panamax (60-100k),E,Monrovia,EEXI (3.6 gCO₂/t·nm),1949.2,380.9,True
9342865,NAVIOS SUN,Bulk carrier,76619.0,Panamax (60-100k),D,"Panama, Ciudad De",EEXI (3.6 gCO₂/t·nm),3128.0,307.2,True
9544401,GU IMABARI,Bulk carrier,76619.0,Panamax (60-100k),D,Panama,EEXI (3.58 gCO₂/t·nm),3457.4,304.9,True
9464508,ROSE,Bulk carrier,76619.0,Panamax (60-100k),D,Monrovia,EEXI (3.6 gCO₂/t·nm),5084.6,289.6,True
9488475,WEN ZHU HAI,Bulk carrier,76611.0,Panamax (60-100k),D,Tianjin,EEXI (3.61 gCO₂/t·nm),5092.1,292.6,True
9254563,PICTOR,Bulk carrier,76598.0,Panamax (60-100k),D,Monrovia,EEXI (3.6 gCO₂/t·nm),4724.9,308.1,True
9381213,CALYPSO V,Bulk carrier,76596.0,Panamax (60-100k),C,Panama,EEXI (3.6 gCO₂/t·nm),2393.4,260.4,True
9342827,FANTASEA,Bulk carrier,76596.0,Panamax (60-100k),C,Monrovia,EEXI (3.58 gCO₂/t·nm),2340.6,272.9,True
9302762,NAVIOS TAURUS,Bulk carrier,76596.0,Panamax (60-100k),E,Panama,EEXI (3.6 gCO₂/t·nm),1702.6,337.7,True
9342918,BROAD RISE,Bulk carrier,76585.0,Panamax (60-100k),D,Panama,EIV (5.35 gCO₂/t·nm),1473.4,307.9,True
9519157,STORMHARBOUR,Bulk carrier,76583.0,Panamax (60-100k),D,Majuro,EEXI (3.6 gCO₂/t·nm),3657.4,289.0,True
9500883,HONG YUAN,Bulk carrier,76574.0,Panamax (60-100k),E,Panama,EEXI (3.6 gCO₂/t·nm),4780.2,336.4,True
9464417,RIPLEY PROSPERITY,Bulk carrier,76565.0,Panamax (60-100k),C,Monrovia,EIV (5.83 gCO₂/t·nm),4774.5,258.9,True
